
Company,Date,Location,Round,Amount ($M),Lead Investor,Other Investors,Description,Citation
Promptfoo,2025-07-29,"San Francisco, CA",Series A,18.4,Insight Partners,Andreessen Horowitz,Open-source AI security testing platform,https://vcnewsdaily.com/promptfoo/venture-capital-funding/vnsbfhzkwq#:~:text=2025
lakeFS,2025-07-29,"New York, NY",Growth Round,20.0,Maor Investments,Dell Technologies Capital; Norwest; Zeev Ventures,Git-for-data version control system,https://vcnewsdaily.com/lakefs/venture-capital-funding/mscvqwrbwf#:~:text=NEW%20YORK%2C%20NY%2C%20lakeFS%2C%20the,in%20a%20growth%20funding%20round
Reveal Technology,2025-07-29,"Bozeman, MT",Series B,30.0,Ballistic Ventures,defy.vc; Booz Allen Ventures; Shield Capital; Next Frontier Capital; Madison Valley Partners,Defense tech company building offline intelligence platforms (Farsight & Identifi),https://vcnewsdaily.com/reveal-technology/venture-capital-funding/fdbdzqnyqb#:~:text=BOZEMAN%2C%20MT%2C%20Reveal%20Technology%2C%20a,million%20Series%20B%20funding%20round
Hightouch,2025-07-29,"San Francisco, CA",Series C extension,,Snowflake Ventures & Capital One Ventures,,Composable CDP and AI Decisioning platform for marketers,https://vcnewsdaily.com/hightouch/venture-capital-funding/pcfgqyxddp#:~:text=SAN%20FRANCISCO%2C%20CA%2C%20Hightouch%2C%20the,Ventures%20and%20Capital%20One%20Ventures
[cafeteria],2025-07-29,"New York, NY",Growth Round,3.0,Marquee Ventures,Listen Ventures; Thayer Investment Partners,Consumer insights platform for Gen Z and Alpha to earn for private brand insights,https://vcnewsdaily.com/[cafeteria]/venture-capital-funding/pgctvwhbfv#:~:text=NEW%20YORK%2C%20NY%2C%20,3%20million%20Growth%20Funding%20Round
Salient,2025-07-29,"San Francisco, CA",Funding Round,60.0,Andreessen Horowitz,Matrix Partners; Michael Ovitz; Y Combinator,AI-powered financial services technology,https://vcnewsdaily.com/salient/venture-capital-funding/kmwwdwwhqh#:~:text=SAN%20FRANCISCO%2C%20CA%2C%20Salient%2C%20a,a%20%2460%20million%20funding%20round
Overwatch Imaging,2025-07-29,"Hood River, OR",Funding Round,6.0,Squadra Ventures,SEMCAP AI; Elevate Oregon Venture Direct Fund; Edo Capital,Airborne imaging systems & intelligence automation software,https://vcnewsdaily.com/overwatch-imaging/venture-capital-funding/sfkwpjlftt#:~:text=HOOD%20RIVER%2C%20OR%2C%20Overwatch%20Imaging%2C,new%20%246%20million%20funding%20round
Sparrow,2025-07-29,"San Francisco, CA",Series B,35.0,SLW,,Employee leave management platform,https://vcnewsdaily.com/sparrow/venture-capital-funding/nchmfwxmxv#:~:text=SAN%20FRANCISCO%2C%20CA%2C%20Sparrow%2C%20the,of%20funding%20led%20by%20SLW
ARTBIO,2025-07-29,"Cambridge, MA",Series B,132.0,Sofinnova Investments; B Capital; life sciences fund,F‑Prime; Omega Funds; Third Rock Ventures; Qatar Investment Authority; Alexandria Venture Investments,Clinical‑stage radiopharmaceutical company developing alpha radioligand therapies (ARTs),https://vcnewsdaily.com/artbio/venture-capital-funding/ljqtffyzfg#:~:text=CAMBRIDGE%2C%20MA%2C%20ARTBIO%20today%20announced,132%20million%20Series%20B%20financing
TakeUp,2025-07-29,"San Francisco, CA",Series A,11.0,1848 Ventures,,AI‑powered revenue optimization platform for independent stays,https://vcnewsdaily.com/takeup/venture-capital-funding/ttlhbfgcjs#:~:text=SAN%20FRANCISCO%2C%20CA%2C%20TakeUp%2C%20the,Series%20A%20round%20of%20funding
E2B,2025-07-29,"San Francisco, CA",Series A,21.0,Insight Partners,Decibel; Sunflower Capital; Kaya; angels incl. Scott Johnston,Open‑source cloud infrastructure for AI agents,https://vcnewsdaily.com/e2b/venture-capital-funding/wmtvnjbxkf#:~:text=E2B%2C%20the%20leading%20provider%20of,source%20interoperability
